codice_scuola,codice_istituto,gestione,denominazione,grado,indirizzo,cap,codice_comune,comune,lon,lat,fonte,codice_edificio,id_bene,osm_id,alunni,stranieri,stranieri_ue,stranieri_nonue,pct_stranieri,percorso_prevalente,quota_percorso,flag
GEPS02000C,GEPS02000C,statale,LS E.FERMI -,LICEO SCIENTIFICO,VIA W. ULANOWSKI 56,16151,D969,Genova,8.888587,44.416821,fgb_civico,0100250389,85392,,727,80,5,75,11,LICEO,1,
GEMM83501N,GEIC83500L,statale,I.C. PRA'-EX ASSAROTTI,SCUOLA PRIMO GRADO,VIA BRANEGA 10 C,16157,D969,Genova,8.77625,44.43878,fgb_civico,0100250307,2552231,,273,43,10,33,15.8,,,ambiguo
GEEE84202V,GEIC84200Q,statale,S.EL. - E.MORANTE -,SCUOLA PRIMARIA,VIA LINNEO 232,16159,D969,Genova,8.90389,44.44764,fgb_cognome,0100250171,2542038,,178,23,5,18,12.9,,,
GEEE825036,GEIC825002,statale,S.EL. - L.CICALA -,SCUOLA PRIMARIA,VIA RIGOLA 52,16149,D969,Genova,8.906125,44.413563,civico,,,,121,21,0,21,17.4,,,
GETL007019,GEIS00700L,statale,I.T.T. M.BUONARROTI -,ISTITUTO TECNICO PER GEOMETRI,VIA CANEVARI 51,16137,D969,Genova,8.951296,44.415056,civico,0100250458,,,169,28,2,26,16.6,TECNICO,1,
GEPM04000P,GEPM04000P,statale,LICEO STATALE SANDRO PERTINI,ISTITUTO MAGISTRALE,VIA C.BATTISTI 5,16145,D969,Genova,8.952925,44.396245,fgb_civico,0100250356,85408,,1842,136,14,122,7.4,LICEO,1,
GEAA83501D,GEIC83500L,statale,S.MAT. DI VIA BRANEGA,SCUOLA INFANZIA,VIA BRANEGA 10,16157,D969,Genova,8.77625,44.43878,fgb_civico,0100250048,2552231,,,,,,,,,ambiguo
GEEE812023,GEIC81200X,statale,S.EL. - MONTEGRAPPA -,SCUOLA PRIMARIA,VIA SAN MARINO 223,16127,D969,Genova,8.90846,44.42393,fgb_civico,0100250465,2555176,,131,6,0,6,4.6,,,
GEMM14100T,GEMM14100T,statale,I.O. CONVITTO/SEC.I GR.COLOMBO,SCUOLA PRIMO GRADO,CORSO CARBONARA 7G,16124,D969,Genova,8.931349,44.415913,osm_plesso,0100250325,,node/1786610444,340,43,4,39,12.6,,,
GEPM007014,GEIS00700L,statale,LICEO ECONOMICO SOCIALE,ISTITUTO MAGISTRALE,VIA CANEVARI 51,16137,D969,Genova,8.951296,44.415056,civico,0100250458,,,244,14,1,13,5.7,LICEO,1,
GEPS01000T,GEPS01000T,statale,I.O. CONVITTO / LICEO SCIENTIFICO,LICEO SCIENTIFICO,VIA BELLUCCI 4,16124,D969,Genova,8.928073,44.415156,civico,,,,265,21,2,19,7.9,LICEO,1,
GEAA808015,GEIC808008,statale,"SC. MAT. ""IL PICCOLO PRINCIPE""",SCUOLA INFANZIA,VIA DONGHI 8,16132,D969,Genova,8.966436,44.408263,fgb_civico,0100250019,8108,,,,,,,,,
GEMM181008,GEMM181008,statale,I.O.CONVITTO/SEC.IGR.DON MILANI,SCUOLA PRIMO GRADO,CORSO CARBONARA 7G,16124,D969,Genova,8.931328,44.415879,fgb_cognome,0100250325,22621,,272,54,1,53,19.9,,,
GERH02301P,GEIS02300E,statale,IPSSA N.BERGESE,IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE,VIA GIOTTO 10,16153,D969,Genova,8.855123,44.423058,civico,0100250420,,,745,144,10,134,19.3,PROFESSIONALE,1,
GEMM816018,GEIC816007,statale,I.C.PONTEX-SMS DON ORENGO,SCUOLA PRIMO GRADO,PIAZZA CESARE CELLINI 4,16164,D969,Genova,8.901436,44.497069,fgb_civico,0100250340,488923,,205,64,1,63,31.2,,,
GEAA82502X,GEIC825002,statale,SC. INF. EMANUELA LOI,SCUOLA INFANZIA,VIA ASILO GARBARINO 1,16126,D969,Genova,8.913356,44.415631,fgb_cognome,0100250023,496607,,,,,,,,,
GEAA811011,GEIC811004,statale,SCUOLA INFANZIA A. SPINOLA,SCUOLA INFANZIA,VIA NAPOLI 2 CANC.,16134,D969,Genova,8.925425,44.421421,fgb_cognome,0100250800,496667,,,,,,,,,
GEAA84201L,GEIC84200Q,statale,S.MAT. - OTTO MARZO -,SCUOLA INFANZIA,VIA TEGLIA 2 C,16161,D969,Genova,8.89415,44.44879,fgb_civico,0100250060,2551325,,,,,,,,,
GEMM812011,GEIC81200X,statale,I.C. S.FRANCESCO DA PAOLA-BIXIO,SCUOLA PRIMO GRADO,SALITA GRANAROLO 24,16126,D969,Genova,8.90846,44.42393,fgb_civico,0100250465,2555176,,271,29,3,26,10.7,,,
GEMM02000X,GEMM02000X,statale,I.O. CONVITTO / SEC. I GR. SEDE,SCUOLA PRIMO GRADO,VIA BELLUCCI 4,16124,D969,Genova,8.927989,44.414663,fgb_civico,0100250824,489994,,127,37,0,37,29.1,,,
GEEE84201T,GEIC84200Q,statale,S.EL. DI VIA TEGLIA,SCUOLA PRIMARIA,VIA TEGLIA 2 B,16161,D969,Genova,8.89415,44.44879,fgb_civico,0100250060,2551325,,226,116,16,100,51.3,,,
GEEE840016,GEIC840004,statale,S.EL. - L.ARIOSTO -,SCUOLA PRIMARIA,VIA L.ARIOSTO 1,16159,D969,Genova,8.894861,44.428939,fgb_cognome,0100250037,486102,,377,195,9,186,51.7,,,
GEEE825025,GEIC825002,statale,S.EL. - CHIABRERA -,SCUOLA PRIMARIA,VIA ASILO GARBARINO 1,16126,D969,Genova,8.913356,44.415631,fgb_cognome,0100250023,496607,,130,71,4,67,54.6,,,
GEEE825014,GEIC825002,statale,S.EL. - G.GARIBALDI -,SCUOLA PRIMARIA,VIA BOLOGNA 6 A - 10 A,16127,D969,Genova,8.90902,44.41819,fgb_civico,0100250022,2555155,,105,32,6,26,30.5,,,
GEMM84201R,GEIC84200Q,statale,I.C. TEGLIA - MEDIA TEGLIA,SCUOLA PRIMO GRADO,VIA TEGLIA 2,16161,D969,Genova,8.89415,44.44879,fgb_civico,0100250060,2551325,,291,103,5,98,35.4,,,
GEAA86202V,GEIC862001,statale,S.MAT. DI VIA SCRIBANTI,SCUOLA INFANZIA,VIA SCRIBANTI 2,16131,D969,Genova,8.974536,44.4065,fgb_cognome,0100250021,483229,,,,,,,,,
GEAA86201T,GEIC862001,statale,S.MAT. - L.RADICE -,SCUOLA INFANZIA,VIA BOERO 75,16132,D969,Genova,8.982042,44.406697,fgb_cognome,0100250108,482971,,,,,,,,,
GEEE841012,GEIC84100X,statale,SC.ELEM. 2 GIUGNO,SCUOLA PRIMARIA,VIA FRATELLI DI CORONATA,16153,D969,Genova,8.87487,44.43745,fgb_cognome,0100250035,2551222,,154,27,2,25,17.5,,,
GEAA86203X,GEIC862001,statale,S.MAT. DI BAVARI,SCUOLA INFANZIA,VIA B.MERLANTI 24,16133,D969,Genova,9.018203,44.431965,civico,,,,,,,,,,,
GEEE816019,GEIC816007,statale,S.EL. - N.GALLINO -,SCUOLA PRIMARIA,VIA ISOCORTE 1 B,16164,D969,Genova,8.90252,44.49454,fgb_civico,0100250047,2542527,,307,116,7,109,37.8,,,
GEEE841034,GEIC84100X,statale,SC.ELEM. XXV APRILE,SCUOLA PRIMARIA,VIA MUSCOLA 23,16153,D969,Genova,8.85641,44.43014,fgb_cognome,0100250036,2551196,,205,62,5,57,30.2,,,
GEAA82501V,GEIC825002,statale,SC.INF. TORRE PILOTI MOLO GIANO,SCUOLA INFANZIA,VIA BOLOGNA6A,16127,D969,Genova,8.90902,44.41819,fgb_civico,0100250022,2555155,,,,,,,,,
GEAA862041,GEIC862001,statale,S.MAT. DI VIA OLIVIERI,SCUOLA INFANZIA,VIA OLIVIERI 71,16133,D969,Genova,8.996386,44.404483,fgb_cognome,0100250109,482927,,,,,,,,,
GEAA83004D,GEIC83000D,statale,SCUOLA DELL'INFANZIA GIOVINE IT,SCUOLA INFANZIA,VIA BURLANDO 1,16137,D969,Genova,8.947879,44.415567,fgb_cognome,0100250123,483143,,,,,,,,,
GEMM840015,GEIC840004,statale,I.C.CERTOSA - SMS CAFFARO,SCUOLA PRIMO GRADO,VIA GAZ 3,16159,D969,Genova,8.89234,44.42851,fgb_civico,0100250317,2551207,,136,69,3,66,50.7,,,
GEAA83003C,GEIC83000D,statale,S.MAT. DI VIA BURLANDO,SCUOLA INFANZIA,VIA BURLANDO 48,16137,D969,Genova,8.944487,44.42396,fgb_cognome,0100250122,483503,,,,,,,,,
