codice_scuola,codice_istituto,gestione,denominazione,grado,indirizzo,cap,codice_comune,comune,lon,lat,fonte,codice_edificio,id_bene,osm_id,alunni,stranieri,stranieri_ue,stranieri_nonue,pct_stranieri,percorso_prevalente,quota_percorso,flag
RM1E028004,,paritaria,SCUOLA ELEM.PARIT. PIO XII,SCUOLA PRIMARIA NON STATALE,VIA FELICE BISLERI 51,00133,H501,Roma,12.623773,41.861207,civico,,,,80,3,3,0,3.8,,,
RM1A31400V,,paritaria,SCUOLA MATERNA SACRO CUORE,SCUOLA INFANZIA NON STATALE,VIA DELLA TENUTA DI SANT'AGATA 1,00136,H501,Roma,12.428759,41.937893,civico,,,,,,,,,,,
RM1AOH500C,,paritaria,Camilla Ravera,SCUOLA INFANZIA NON STATALE,via Vivi Gioi27,00135,H501,Roma,12.400671,41.961147,fgb_civico,,976187,,,,,,,,,
RM1A17400R,,paritaria,SCUOLA MATERNA INTERNAZ.MONTESSORI NERINA NOE',SCUOLA INFANZIA NON STATALE,VIA VIGGIANO 78/80,00178,H501,Roma,,,nessuna,,,,,,,,,,,
RM1M08300T,,paritaria,SCUOLA MEDIA CABRINI,SCUOLA SEC. PRIMO GRADO NON STATALE,V.ANAGNI 1,00171,H501,Roma,12.553921,41.890225,civico,,,,54,2,0,2,3.7,,,
RM1M024002,,paritaria,SCUOLA MEDIA IST. S. PAOLO,SCUOLA SEC. PRIMO GRADO NON STATALE,V.CASILINA 1606 (TORRE-GAIA),00133,H501,Roma,12.63745,41.863597,civico,,,,165,9,1,8,5.5,,,
RM1AGD500V,,paritaria,LATTE E BISCOTTI,SCUOLA INFANZIA NON STATALE,V. ORICOLA 57,00132,H501,Roma,,,nessuna,,,,,,,,,,,
RM1A02600E,,paritaria,VITTORIO VENETO,SCUOLA INFANZIA NON STATALE,VIA POMONA 9,00158,H501,Roma,12.55457,41.917,fgb_civico,,2631121,,,,,,,,,
RM1A27000A,,paritaria,SCUOLA MATERNA CARDINALE BARBARIGO,SCUOLA INFANZIA NON STATALE,VIA TREVIGNANO ROMANO 12,00135,H501,Roma,12.425048,41.97771,fgb_cognome,,1035370,,,,,,,,,
RM1EVQ500H,,paritaria,L'AURORA,SCUOLA PRIMARIA NON STATALE,V. Tommaso Traetta n.68,00124,H501,Roma,,,nessuna,,,,108,6,2,4,5.6,,,
RM1A744006,,paritaria,PAPAVERI E PAPERE,SCUOLA INFANZIA NON STATALE,VIA GIUSEPPE MICALI 72,00124,H501,Roma,12.324819,41.756423,civico,,,,,,,,,,,
RM1A34500E,,paritaria,ARCOBALENO EX SAN DANIELE,SCUOLA INFANZIA NON STATALE,VIA SAN DANIELE DEL FRIULI,00188,H501,Roma,,,nessuna,,,,,,,,,,,
RM1A659003,,paritaria,SETTECAMINI,SCUOLA INFANZIA NON STATALE,VIA MONTENERO SABINO 7,00100,H501,Roma,12.6251,41.937242,fgb_civico,,2033,,,,,,,,,
RM1A26000Q,,paritaria,SCUOLA MATERNA ASILI INFANTILI ISRAELITICI,SCUOLA INFANZIA NON STATALE,L.RE R. SANZIO 14,00153,H501,Roma,12.472563,41.890524,civico,,,,,,,,,,,
RM1A9N5001,,paritaria,La mimosa Birichina,SCUOLA INFANZIA NON STATALE,Via Bruno de Finetti 172,00134,H501,Roma,12.484636,41.79166,fgb_civico,,976196,,,,,,,,,
RM1E13200L,,paritaria,SC.EL.PAR. MARIA SANTISSIMA DEL BUON CONSIGLIO,SCUOLA PRIMARIA NON STATALE,VIA DELLE VIGNE NUOVE 104,00139,H501,Roma,12.537153,41.948305,civico,,,,109,2,0,2,1.8,,,
RMPS00500L,,paritaria,LICEO SCIENTIFICO POLIZIANO,SCUOLA SEC. SECONDO GRADO NON STATALE,VIA DELLA TRAVICELLA 55/61,00179,H501,Roma,,,nessuna,,,,18,1,0,1,5.6,LICEO,1,pochi_alunni
RM1A64300D,,paritaria,SCUOLA MATERNA SUORE DELLA RESURREZIONE,SCUOLA INFANZIA NON STATALE,VIA MARCANTONIO COLONNA 52,00195,H501,Roma,12.466565,41.910433,civico,,,,,,,,,,,
RM1E11500V,,paritaria,COMUNITA' EBRAICA-SC.EL.PARIF.VITTORIO POLACCO,SCUOLA PRIMARIA NON STATALE,VIA ELIO TOAFF 5,00186,H501,Roma,12.477316,41.892754,civico,,,,390,5,1,4,1.3,,,
RM1A17600C,,paritaria,SCUOLA MATERNA MARIA SS.PRESENTATA AL TEMPIO,SCUOLA INFANZIA NON STATALE,VIA CAPO DELLE ARMI 7,00122,H501,Roma,12.286098,41.740412,civico,,,,,,,,,,,
RM1A42800N,,paritaria,GIACOMO LEOPARDI,SCUOLA INFANZIA NON STATALE,VLE PARCO DELLA VITTORIA 30,00136,H501,Roma,12.44983,41.925144,fgb_cognome,,968583,,,,,,,,,
RMPL22500A,,paritaria,MAGNUM,SCUOLA SEC. SECONDO GRADO NON STATALE,VIALE EUROPA 140,00144,H501,Roma,12.465543,41.831651,civico,,,,71,10,4,6,14.1,LICEO,1,
RM1E099006,,paritaria,SCUOLA ELEM.PARIF. S. ELISABETTA,SCUOLA PRIMARIA NON STATALE,VIA MARSICO NUOVO 35,00178,H501,Roma,12.55796,41.830291,civico,,,,89,0,0,0,0,,,
RMPM55500G,,paritaria,SACRO CUORE,SCUOLA SEC. SECONDO GRADO NON STATALE,v. della Tenuta di S. Agata 1,00135,H501,Roma,12.428759,41.937893,civico,,,,91,5,0,5,5.5,LICEO,1,
RM1AUT500V,,paritaria,SCUOLA CATTOLICA,SCUOLA INFANZIA NON STATALE,VIA COLA DI RIENZO 140,00192,H501,Roma,12.465548,41.907933,civico,,,,,,,,,,,
RM1M2E5007,,paritaria,aurora institute,SCUOLA SEC. PRIMO GRADO NON STATALE,VIA TOMMASO TRAETTA 68,00124,H501,Roma,12.3858,41.752082,civico,,,,66,1,1,0,1.5,,,
RM1E122002,,paritaria,BAMBIN GESU',SCUOLA PRIMARIA NON STATALE,VLE DI CASTEL PORZIANO 316,00124,H501,Roma,12.352896,41.732568,civico,,,,56,2,2,0,3.6,,,
RM1M057009,,paritaria,COMUNITA' EBRAICA DI ROMA SC.A.SACERDOTI,SCUOLA SEC. PRIMO GRADO NON STATALE,VIA PORTICO D'OTTAVIA 73,00186,H501,Roma,12.47696,41.89305,civico,,,,231,5,2,3,2.2,,,
RM1ATP500P,,paritaria,Mondo infanzia alle Dodici Stelle,SCUOLA INFANZIA NON STATALE,Piazza delle Scuole Pie snc,00044,H501,Roma,,,nessuna,,,,,,,,,,,
RM1A76500A,,paritaria,RIS ROME INTERNATIONAL SCHOOL,SCUOLA INFANZIA NON STATALE,Via Guglielmo Pecori Giraldi 137,00135,H501,Roma,12.449112,41.940826,civico,,,,,,,,,,,
RM1E19700B,,paritaria,SCUOLA ELEM.PARIF. GESU' E MARIA,SCUOLA PRIMARIA NON STATALE,VIA FLAMINIA 631,00191,H501,Roma,12.472527,41.945074,civico,,,,313,2,1,1,0.6,,,
RM1M09900B,,paritaria,SCUOLA MEDIA PIO XI,SCUOLA SEC. PRIMO GRADO NON STATALE,V.UMBERTIDE 11,00181,H501,Roma,12.531374,41.874154,civico,,,,244,5,0,5,2,,,
RM1A47700V,,paritaria,LUIGI SETTEMBRINI,SCUOLA INFANZIA NON STATALE,VIA DEL LAVATORE 36,00187,H501,Roma,12.484299,41.901045,civico,,,,,,,,,,,
RM1APT500R,,paritaria,PRIMAVERA DEL CAMPUS,SCUOLA INFANZIA NON STATALE,VIA REGDO SCODRO 35,00128,H501,Roma,,,nessuna,,,,,,,,,,,
RM1MLB500C,,paritaria,ST. PHILIP SCHOOL,SCUOLA SEC. PRIMO GRADO NON STATALE,Via Appia Nuova 254,00183,H501,Roma,12.51649,41.879568,civico,,,,55,18,1,17,32.7,,,
RM1E15800R,,paritaria,SCUOLA ELEM.PARIF. SACRO CUORE,SCUOLA PRIMARIA NON STATALE,VIA GREGORIO XI 26,00166,H501,Roma,12.412424,41.894732,fgb_via,,983807,,65,41,1,40,63.1,,,
RM1A696002,,paritaria,MATITE COLORATE,SCUOLA INFANZIA NON STATALE,PIAZZA PAOLO ROSSI 4,00156,H501,Roma,12.584816,41.950707,civico,,,,,,,,,,,
RM1A65600G,,paritaria,SCUOLA MATERNA IL BAMBINO NEL MONDO,SCUOLA INFANZIA NON STATALE,VIA BELVEDERE MONTELLO 70A,00166,H501,Roma,12.394995,41.916112,civico,,,,,,,,,,,
RM1E02600C,,paritaria,SCUOLA PRIMARIA PARITARIA ANNA MICHELI,SCUOLA PRIMARIA NON STATALE,VIA LUDOVICA ALBERTONI 41,00152,H501,Roma,12.443921,41.878593,civico,,,,319,3,0,3,0.9,,,
RM1A221005,,paritaria,AMICO ULIVO EX PIANETA VENERE,SCUOLA INFANZIA NON STATALE,VIA DEL PIANETA VENERE 110,00144,H501,Roma,12.44819,41.81779,fgb_civico,,983853,,,,,,,,,
RM1E16700G,,paritaria,SCUOLA ELEM.PARIT. MARIA AUSILIATRICE,SCUOLA PRIMARIA NON STATALE,VIA MAURO MORRONE 25,00139,H501,Roma,12.528299,41.960042,civico,,,,111,0,0,0,0,,,
RMPL085008,,paritaria,LICEO LINGUISTICO KENNEDY,SCUOLA SEC. SECONDO GRADO NON STATALE,VIA GIOSUE' CARDUCCI 2,00186,H501,Roma,12.494816,41.906597,civico,,,,74,8,2,6,10.8,LICEO,1,
RM1AQ7500R,,paritaria,VIA ADOLFO CELI,SCUOLA INFANZIA NON STATALE,VIA ADOLFO CELI 95,00137,H501,Roma,12.538372,41.975362,civico,,,,,,,,,,,
RM1A384005,,paritaria,CIAMICIAN,SCUOLA INFANZIA NON STATALE,VIA CIAMICIAN 32,00100,H501,Roma,,,nessuna,,,,,,,,,,,
RM1E08400C,,paritaria,SCUOLA PRIM. PARITARIA SAN LEONE MAGNO,SCUOLA PRIMARIA NON STATALE,PZA DI SANTA COSTANZA 2,00198,H501,Roma,12.516169,41.921508,civico,,,,227,7,0,7,3.1,,,
RM1M082002,,paritaria,SCUOLA MEDIA NOSTRA SIGNORA DEL SUFFRAGIO,SCUOLA SEC. PRIMO GRADO NON STATALE,V.DEI COLOMBI 47,00169,H501,Roma,12.593184,41.869058,civico,,,,81,4,2,2,4.9,,,
RM1A049007,,paritaria,SCUOLA MATERNA S. PAOLO,SCUOLA INFANZIA NON STATALE,VIA CASILINA 1606,00133,H501,Roma,12.63745,41.863597,civico,,,,,,,,,,,
RM1M02100E,,paritaria,SCUOLA MEDIA FAA' DI BRUNO,SCUOLA SEC. PRIMO GRADO NON STATALE,P.ZZA REGINA PACIS 13,00122,H501,Roma,12.281529,41.731404,civico,,,,194,2,1,1,1,,,
RM1M12400V,,paritaria,SCUOLA MEDIA SCUOLA PONTIFICIA PIO IX,SCUOLA SEC. PRIMO GRADO NON STATALE,VIA DEI CAVALIERI DEL S. SEPOLCRO 1,00193,H501,Roma,12.460544,41.901867,civico,,,,77,8,2,6,10.4,,,
RM1A02500P,,paritaria,A. CELLI - COMUNALE,SCUOLA INFANZIA NON STATALE,VIA DEI TORRIANI 44,00164,H501,Roma,12.420008,41.885358,fgb_civico,,983684,,,,,,,,,
RM1A269006,,paritaria,SCUOLA MATERNA BENEDETTA CAMBIAGIO,SCUOLA INFANZIA NON STATALE,VIA DELLA MOLETTA 10,00154,H501,Roma,12.484831,41.868991,civico,,,,,,,,,,,
RMTDOO500A,,paritaria,A. RUIZ I.T. A.F.M.,SCUOLA SEC. SECONDO GRADO NON STATALE,VIA DELL'IMBRECCIATO 127,00100,H501,Roma,12.446385,41.849448,civico,,,,47,4,0,4,8.5,TECNICO,1,
RM1ES9500O,,paritaria,Gauss Junior,SCUOLA PRIMARIA NON STATALE,via della Bufalotta556,00137,H501,Roma,12.546773,41.959767,civico,,,,17,0,0,0,0,,,pochi_alunni
RMPMQB5004,,paritaria,LIC.SC.UMANE GIOVANNI PAOLO II,SCUOLA SEC. SECONDO GRADO NON STATALE,C.SO DUCA DI GENOVA 157,00121,H501,Roma,12.270624,41.734077,civico,,,,145,3,0,3,2.1,LICEO,1,
RM1E11000Q,,paritaria,SCUOLA ELEM.PARIT. SANT'ANNA,SCUOLA PRIMARIA NON STATALE,VLE MARCONI 700,00146,H501,Roma,12.475639,41.846475,civico,,,,175,2,1,1,1.1,,,
RM1E01300A,,paritaria,SCUOLA ELEM.PARIF. S. VINCENZO PALLOTTI,SCUOLA PRIMARIA NON STATALE,LUNGOMARE P. TOSCANELLI 140,00122,H501,Roma,12.274583,41.730454,civico,,,,128,3,1,2,2.3,,,
RM1E007003,,paritaria,SCUOLA ELEM.PARIT. MARIA IMMACOLATA,SCUOLA PRIMARIA NON STATALE,VIA TOR DE' SCHIAVI 150,00172,H501,Roma,12.563534,41.88183,civico,,,,106,9,4,5,8.5,,,
RM1M15000B,,paritaria,SCUOLA SECONDARIA DI PRIMO GRADO ANTONIO ROSMINI,SCUOLA SEC. PRIMO GRADO NON STATALE,VIA AURELIA 773,00165,H501,Roma,12.412247,41.890004,civico,,,,53,0,0,0,0,,,
RM1A64100T,,paritaria,SCUOLA DELL'INFANZIA PARITARIA SAN GIOVANNI BOSCO,SCUOLA INFANZIA NON STATALE,VIALE PALMIRO TOGLIATTI 167,00175,H501,Roma,12.569907,41.859904,civico,,,,,,,,,,,
RM1E030004,,paritaria,SCUOLA ELEM.PARIT. STELLA MARIS,SCUOLA PRIMARIA NON STATALE,VIA PIETRO DA MAZZARA 13,00125,H501,Roma,12.365745,41.783911,civico,,,,86,6,5,1,7,,,
RM1A53500N,,paritaria,SCUOLA MATERNA TERESA SPINELLI,SCUOLA INFANZIA NON STATALE,P.ZZA MASTAI 16,00153,H501,Roma,12.473205,41.88719,civico,,,,,,,,,,,
RM1AL85005,,paritaria,Guglielmo marconi,SCUOLA INFANZIA NON STATALE,via Francesco Bonafede 95,00172,H501,Roma,12.58198,41.87608,fgb_civico,,2632579,,,,,,,,,
RM1A52700P,,paritaria,SCUOLA MATERNA NOSTRA SIGNORA DEL SUFFRAGIO,SCUOLA INFANZIA NON STATALE,VIA DEI COLOMBI 47,00169,H501,Roma,12.593184,41.869058,civico,,,,,,,,,,,
RM1A44200X,,paritaria,LA MIMOSA,SCUOLA INFANZIA NON STATALE,VIA CONCESIO 13,00188,H501,Roma,12.4859,42.00297,fgb_civico,,2529880,,,,,,,,,
RM1A64900C,,paritaria,SCUOLA MATERNA S. CHIARA,SCUOLA INFANZIA NON STATALE,VIA C. TROIANI 90,00144,H501,Roma,,,nessuna,,,,,,,,,,,
RM1A17500L,,paritaria,SCUOLA MATERNA MADRE GIULIA SALZANO,SCUOLA INFANZIA NON STATALE,VIA G. CERBARA 40,00147,H501,Roma,12.502528,41.85458,civico,,,,,,,,,,,
RM1A43100D,,paritaria,GOFFREDO MAMELI,SCUOLA INFANZIA NON STATALE,VIA DEI GENOVESI 30,00153,H501,Roma,12.47668,41.888177,fgb_civico,,971400,,,,,,,,,
RM1A7O5003,,paritaria,LICIO GIORGIERI,SCUOLA INFANZIA NON STATALE,V. Licio Giorgieri n. 58,00163,H501,Roma,,,nessuna,,,,,,,,,,,
RM1E09800A,,paritaria,SCUOLA ELEM.PARIT. CASA S. GIUSEPPE,SCUOLA PRIMARIA NON STATALE,VIA SQUILLACE 11,00178,H501,Roma,12.555846,41.833392,civico,,,,57,2,0,2,3.5,,,
RM1E200002,,paritaria,SCUOLA ELEM.PARIT. ARCOBALENO,SCUOLA PRIMARIA NON STATALE,VIA DEL CASALETTO 580,00151,H501,Roma,12.437487,41.854074,civico,,,,59,1,0,1,1.7,,,
RMPM4G5004,,paritaria,G. D'ANNUNZIO SCIENZE UMANE - ECONOMICO-SOCIALE,SCUOLA SEC. SECONDO GRADO NON STATALE,Via O. Panvinio 11/13,00162,H501,Roma,,,nessuna,,,,84,0,0,0,0,LICEO,1,
RMTDSN500S,,paritaria,NUMIDIO QUADRATO,SCUOLA SEC. SECONDO GRADO NON STATALE,V. DI CENTOCELLE 572,00175,H501,Roma,12.555518,41.864959,civico,,,,58,5,2,3,8.6,TECNICO,1,
RM1A41000C,,paritaria,GESMUNDO,SCUOLA INFANZIA NON STATALE,PZA DE CUPIS 20,00155,H501,Roma,12.590832,41.903574,fgb_cognome,,971131,,,,,,,,,
RM1A749009,,paritaria,STELLE NASCENTI,SCUOLA INFANZIA NON STATALE,VIA NORA RICCI 30,00121,H501,Roma,12.393761,41.783844,fgb_civico,,957992,,,,,,,,,
RM1E121006,,paritaria,DIVINA PROVVIDENZA,SCUOLA PRIMARIA NON STATALE,VIA MATTEO BARTOLI 255,00143,H501,Roma,12.493489,41.819409,osm_plesso,,,way/1337473667,173,3,2,1,1.7,,,
RMTND1500F,,paritaria,ISTITUTO GIOVANNI PAOLO II - ISTITUTO TECNICO PER IL TURISMO,SCUOLA SEC. SECONDO GRADO NON STATALE,CORSO DUCA DI GENOVA 157,00121,H501,Roma,12.270624,41.734077,civico,,,,34,1,0,1,2.9,TECNICO,1,
RM1A21000P,,paritaria,SCUOLA DELL'INFANZIA SACRA FAMIGLIA,SCUOLA INFANZIA NON STATALE,VIA DEL CALICE 12,00178,H501,Roma,12.564962,41.830582,civico,,,,,,,,,,,
RM1A12400Q,,paritaria,SCUOLA DELL'INFANZIA MARIA AUSILIATRICE,SCUOLA INFANZIA NON STATALE,VIA DALMAZIA 12,00198,H501,Roma,12.506949,41.915959,civico,,,,,,,,,,,
RM1A350002,,paritaria,BAIOCCO,SCUOLA INFANZIA NON STATALE,VIA CASALOTTI 259,00100,H501,Roma,12.36445,41.91436,fgb_cognome,,2632835,,,,,,,,,
RMPLG55006,,paritaria,Highlands Institute Internazionale-Quadriennale,SCUOLA SEC. SECONDO GRADO NON STATALE,VIA DELLA SCULTURA 15,00144,H501,Roma,12.479036,41.83129,civico,,,,79,6,1,5,7.6,LICEO,1,
RM1M05100A,,paritaria,ISTITUTO SAN GIUSEPPE CASALETTO - SCUOLA SECONDARIA PRIMO GRADO,SCUOLA SEC. PRIMO GRADO NON STATALE,V.CASALETTO 260,00151,H501,Roma,12.438526,41.868428,civico,,,,72,2,0,2,2.8,,,
RM1A645005,,paritaria,SALVO D'ACQUISTO,SCUOLA INFANZIA NON STATALE,VIA SELINUNTE 33,00173,H501,Roma,12.550528,41.856514,civico,,,,,,,,,,,
RM1AT65005,,paritaria,LA MAISONNETTE -INSIEME PER CRESCERE DI MONICA VIGI,SCUOLA INFANZIA NON STATALE,VIA DELLA COLOMBELLA 5/7,00036,H501,Roma,,,nessuna,,,,,,,,,,,fuori_comune
RM1A426002,,paritaria,L'ARCOBALENO DEI BIMBI EX ROCCACENCIA/BORGATA FINOCCHIO,SCUOLA INFANZIA NON STATALE,VIA DI ROCCA CENCIA 39,00132,H501,Roma,12.688278,41.864089,fgb_civico,,983692,,,,,,,,,
RM1A476003,,paritaria,SESTIO MENAS,SCUOLA INFANZIA NON STATALE,VIA DEI RUFI - VIA DI CENTOCELLE 236,00175,H501,Roma,12.54885,41.86926,fgb_via,,2631924,,,,,,,,,
RM1APO5006,,paritaria,GINKO DORATO,SCUOLA INFANZIA NON STATALE,VIA NORMA COSSETTO 20/22,00143,H501,Roma,,,nessuna,,,,,,,,,,,
RM1A432009,,paritaria,P. MANCINI,SCUOLA INFANZIA NON STATALE,VIA C. MANFRONI 7,00177,H501,Roma,12.54577,41.87378,fgb_cognome,,2512788,,,,,,,,,
RM1A38800C,,paritaria,TITINA DE FILIPPO,SCUOLA INFANZIA NON STATALE,VLE TITINA DE FILIPPO,00139,H501,Roma,,,nessuna,,,,,,,,,,,
RM1A59900L,,paritaria,SCUOLA MATERNA TOMMASO MANINI,SCUOLA INFANZIA NON STATALE,VIA TUSCOLANA 617,00174,H501,Roma,12.550693,41.863252,civico,,,,,,,,,,,
RM1E08800Q,,paritaria,BENEDETTA CAMBIAGIO,SCUOLA PRIMARIA NON STATALE,VIA DELLA MOLETTA 10,00154,H501,Roma,12.484831,41.868991,civico,,,,67,3,1,2,4.5,,,
RM1A69400A,,paritaria,ZUCCHERO FILATO,SCUOLA INFANZIA NON STATALE,VIA NINO TARANTO 70,00121,H501,Roma,12.394656,41.789199,civico,,,,,,,,,,,
RM1A052003,,paritaria,ENRICO TOTI - COMUNALE,SCUOLA INFANZIA NON STATALE,VIA DEL PIGNETO 104,00176,H501,Roma,12.52819,41.8886,fgb_civico,,2512671,,,,,,,,,
RM1AH65009,,paritaria,MARY POPPINS SCHOOL,SCUOLA INFANZIA NON STATALE,VIA ACCADEMIA ALBERTINA,00147,H501,Roma,,,nessuna,,,,,,,,,,,
RM1A220009,,paritaria,L'ALBERO DEI TULIPANI EX EUR,SCUOLA INFANZIA NON STATALE,VIA DELL'ELETTRONICA 3,00144,H501,Roma,12.464848,41.833453,civico,,,,,,,,,,,
RM1A46400R,,paritaria,I MONELLI,SCUOLA INFANZIA NON STATALE,VIA CASALINUOVO 32,00100,H501,Roma,12.48997,41.84318,fgb_cognome,,2575259,,,,,,,,,
RM1AI7500P,,paritaria,KLC SCHOOL,SCUOLA INFANZIA NON STATALE,VIA ARDEATINA 342,00179,H501,Roma,12.516293,41.841643,civico,,,,,,,,,,,
RM1A47900E,,paritaria,SOMMOVIGO,SCUOLA INFANZIA NON STATALE,VIA SOMMOVIGO,00100,H501,Roma,,,nessuna,,,,,,,,,,,
RM1MHD500Z,,paritaria,GAUSS,SCUOLA SEC. PRIMO GRADO NON STATALE,Via della Bufalotta 556,00139,H501,Roma,12.546773,41.959767,civico,,,,29,0,0,0,0,,,
RM1A156007,,paritaria,GREGNA S. ANDREA,SCUOLA INFANZIA NON STATALE,VIA A. DELLA SETA 8,00173,H501,Roma,12.58556,41.82531,fgb_cognome,,2512811,,,,,,,,,
RM1AA3500T,,paritaria,SAXA RUBRA,SCUOLA INFANZIA NON STATALE,VIA DI QUARTO PEPERINO 31,00188,H501,Roma,12.490185,41.978059,civico,,,,,,,,,,,
RM1E134008,,paritaria,SCUOLA ELEM.PARIT. MARIA CONSOLATRICE,SCUOLA PRIMARIA NON STATALE,VIA N.MARSELLI 1,00159,H501,Roma,12.535366,41.897239,civico,,,,91,7,1,6,7.7,,,
RMPS08500D,,paritaria,LICEO SCIENTIFICO M. MASSIMO,SCUOLA SEC. SECONDO GRADO NON STATALE,V.M.MASSIMO 7,00144,H501,Roma,12.517631,41.916804,civico,,,,187,3,2,1,1.6,LICEO,1,
RM1M11900B,,paritaria,SCUOLA MEDIA GESU' E MARIA,SCUOLA SEC. PRIMO GRADO NON STATALE,V.FLAMINIA 631,00191,H501,Roma,12.472527,41.945074,civico,,,,158,8,1,7,5.1,,,
RM1E10900G,,paritaria,SCUOLA ELEMENTARE OASI MADRE SERAFINA,SCUOLA PRIMARIA NON STATALE,VIA PANTAN MONASTERO 35,00166,H501,Roma,12.361766,41.923024,civico,,,,100,1,1,0,1,,,
RM1A53400T,,paritaria,SCUOLA MATERNA S. TERESA DEL BAMBIN GESU',SCUOLA INFANZIA NON STATALE,VIA I. ALIBRANDI 23,00165,H501,Roma,12.4186,41.897304,civico,,,,,,,,,,,
RM1A65400X,,paritaria,CASE ROSSE,SCUOLA INFANZIA NON STATALE,VIA DI VALLE CASTELLANA 21,00100,H501,Roma,12.646887,41.93149,fgb_cognome,,975953,,,,,,,,,
RM1E01200E,,paritaria,SCUOLA ELEM.PARIT. GIOVANNI PAOLO II,SCUOLA PRIMARIA NON STATALE,C.SO DUCA DI GENOVA 157,00121,H501,Roma,12.270624,41.734077,civico,,,,167,7,2,5,4.2,,,
RMPSVP500H,,paritaria,PIO XII,SCUOLA SEC. SECONDO GRADO NON STATALE,V. GALLA PLACIDIA 63,00159,H501,Roma,12.543083,41.905786,civico,,,,92,13,1,12,14.1,LICEO,1,
RMPMS55008,,paritaria,LICEO DEL MADE IN ITALY- GIOVANNI PAOLO II,SCUOLA SEC. SECONDO GRADO NON STATALE,CORSO DUCA DI GENOVA 157,00121,H501,Roma,12.270624,41.734077,civico,,,,2,0,0,0,0,LICEO,1,pochi_alunni
RM1E02900X,,paritaria,SCUOLA ELEM.PARIT. S.FRANCESCO,SCUOLA PRIMARIA NON STATALE,VIA CASILINA 1602,00133,H501,Roma,12.635117,41.863617,civico,,,,102,10,4,6,9.8,,,
RM1A42100V,,paritaria,LA GIRANDOLA EX CALDERINI,SCUOLA INFANZIA NON STATALE,VIA C. BESCHI 12,00121,H501,Roma,12.366427,41.784722,fgb_cognome,,957990,,,,,,,,,
RM1M08900R,,paritaria,MATER DIVINI AMORIS,SCUOLA SEC. PRIMO GRADO NON STATALE,V.C.CANULEIO 150,00174,H501,Roma,12.563987,41.850451,civico,,,,52,1,0,1,1.9,,,
RM1A348002,,paritaria,G.G. BADINI,SCUOLA INFANZIA NON STATALE,PZA DI SANT'ALESSIO 24,00153,H501,Roma,12.481574,41.881587,civico,,,,,,,,,,,
RM1A661003,,paritaria,LEONARDO BIANCHI EX CALASANZIO,SCUOLA INFANZIA NON STATALE,VIA L.BIANCHI,00168,H501,Roma,,,nessuna,,,,,,,,,,,
RM1E023001,,paritaria,SCUOLA ELEM.PARIT. SANTA MARIA,SCUOLA PRIMARIA NON STATALE,V.LE MANZONI 5,00185,H501,Roma,12.504949,41.88973,civico,,,,258,32,2,30,12.4,,,
RM1A441004,,paritaria,R. MERELLI,SCUOLA INFANZIA NON STATALE,VIA MALVANO 40,00194,H501,Roma,,,nessuna,,,,,,,,,,,
RM1A640002,,paritaria,SCUOLA MATERNA SACRA FAMIGLIA,SCUOLA INFANZIA NON STATALE,PIAZZA MONTE GENNARO 47,00139,H501,Roma,12.538092,41.94455,civico,,,,,,,,,,,
RM1E12400N,,paritaria,SCUOLA ELEM.PARIF. SANTA CHIARA,SCUOLA PRIMARIA NON STATALE,VIA CATERINA TROIANI 90,00144,H501,Roma,12.45024,41.811001,nominatim,,,,91,0,0,0,0,,,
RM1AC7500N,,paritaria,Gauss Junior,SCUOLA INFANZIA NON STATALE,via della Bufalotta 556,00137,H501,Roma,12.546773,41.959767,civico,,,,,,,,,,,
RM1A7C5006,,paritaria,MARCO GIANNETTI,SCUOLA INFANZIA NON STATALE,VIA G PETRONI 45,00137,H501,Roma,12.551199,41.968568,fgb_cognome,,968338,,,,,,,,,
RM1E199003,,paritaria,SCUOLA ELEMENTARE INTERNAZ.MONTESSORI NERINA NOE',SCUOLA PRIMARIA NON STATALE,VIA VIGGIANO 78,00178,H501,Roma,12.521772,41.831404,civico,,,,62,3,1,2,4.8,,,
RM1A409008,,paritaria,GIUSEPPE GARIBALDI,SCUOLA INFANZIA NON STATALE,VIA MONDOVI' 16,00183,H501,Roma,12.515275,41.877734,civico,,,,,,,,,,,
RM1A74600T,,paritaria,REFICE,SCUOLA INFANZIA NON STATALE,VIA REFICE SNC,00124,H501,Roma,,,nessuna,,,,,,,,,,,
RM1A537009,,paritaria,SCUOLA MATERNA STELLA MARIS,SCUOLA INFANZIA NON STATALE,VIA PIETRO DA MAZZARA 13,00125,H501,Roma,12.365745,41.783911,civico,,,,,,,,,,,
RM1A74300A,,paritaria,ONLY KIDS,SCUOLA INFANZIA NON STATALE,VIA AURELIA 1410,00050,H501,Roma,12.341156,41.883071,civico,,,,,,,,,,,
RM1A12300X,,paritaria,L'ALLEGRO SALICE EX VITINIA,SCUOLA INFANZIA NON STATALE,VIA MARZABOTTO 12,00127,H501,Roma,12.40388,41.79354,fgb_civico,,983978,,,,,,,,,
RM1EM25008,,paritaria,ST. PHILIP SCHOOL,SCUOLA PRIMARIA NON STATALE,VIA DON ORIONE 8,00183,H501,Roma,12.515756,41.87826,civico,,,,154,41,4,37,26.6,,,
RM1A34900T,,paritaria,BAIOCCO,SCUOLA INFANZIA NON STATALE,VIA CASALOTTI 85,00166,H501,Roma,12.37276,41.91623,fgb_cognome,,2632818,,,,,,,,,
